segment_id,meeting_id,speaker_id,dact_id,word,start_time,end_time,dialogue_act_type,dialogue_act_gloss,dialogue_act_category,event_type,pair_id,pair_type,pair_type_gloss,target_speaker_id,target_dact_id,audio,video,lip_video
TS3008a-D-581.06-581.60-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.36,<laugh>,581.056,581.6,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/TS3008a-D-581.06-581.60-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/TS3008a-D-581.06-581.60-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/lip_segments/TS3008a-D-581.06-581.60-laughter_lip.mp4
TS3008a-D-619.99-620.43-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.37,<laugh>,619.99,620.432,be.pos,Be-Positive,Other,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/TS3008a-D-619.99-620.43-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/TS3008a-D-619.99-620.43-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/lip_segments/TS3008a-D-619.99-620.43-laughter_lip.mp4
TS3008a-D-627.44-629.09-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.38,<laugh>,627.44,629.088,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/TS3008a-D-627.44-629.09-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/TS3008a-D-627.44-629.09-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/lip_segments/TS3008a-D-627.44-629.09-laughter_lip.mp4
TS3008a-D-656.60-658.43-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.40,<laugh>,656.6,658.426,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-656.60-658.43-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-656.60-658.43-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-656.60-658.43-laughter_lip.mp4
TS3008a-D-662.63-663.55-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.41,<laugh>,662.635,663.55,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-662.63-663.55-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-662.63-663.55-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-662.63-663.55-laughter_lip.mp4
TS3008a-D-665.22-665.86-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.42,<laugh>,665.216,665.857,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-665.22-665.86-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-665.22-665.86-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-665.22-665.86-laughter_lip.mp4
TS3008a-D-676.14-677.49-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.45,<laugh>,676.142,677.489,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/TS3008a-D-676.14-677.49-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/TS3008a-D-676.14-677.49-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/lip_segments/TS3008a-D-676.14-677.49-laughter_lip.mp4
TS3008a-D-680.67-681.27-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.47,<laugh>,680.672,681.27,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/TS3008a-D-680.67-681.27-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/TS3008a-D-680.67-681.27-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/lip_segments/TS3008a-D-680.67-681.27-laughter_lip.mp4
TS3008a-D-700.73-707.73-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.48,<laugh>,700.728,707.728,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0013/audio_segments/TS3008a-D-700.73-707.73-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0013/video_segments/TS3008a-D-700.73-707.73-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0013/lip_segments/TS3008a-D-700.73-707.73-laughter_lip.mp4
TS3008a-D-710.11-710.24-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.49,<laugh>,710.11,710.24,inf,Inform,Task,laughter,TS3008a.adjacency-pairs.dharshi.51,apt_1,Support/Possitive Assessment,B,TS3008a.B.dialog-act.dharshi.71,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/TS3008a-D-710.11-710.24-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/TS3008a-D-710.11-710.24-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/lip_segments/TS3008a-D-710.11-710.24-laughter_lip.mp4
TS3008a-D-712.49-716.61-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.50,<laugh>,712.489,716.608,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-712.49-716.61-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-712.49-716.61-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-712.49-716.61-laughter_lip.mp4
TS3008a-D-729.22-730.13-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.51,<laugh>,729.216,730.128,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/TS3008a-D-729.22-730.13-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/TS3008a-D-729.22-730.13-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/lip_segments/TS3008a-D-729.22-730.13-laughter_lip.mp4
TS3008a-D-731.65-732.94-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.52,<laugh>,731.652,732.944,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/TS3008a-D-731.65-732.94-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/TS3008a-D-731.65-732.94-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/lip_segments/TS3008a-D-731.65-732.94-laughter_lip.mp4
TS3008a-D-753.48-753.57-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.58,<laugh>,753.48,753.568,off,Offer,Other,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-753.48-753.57-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-753.48-753.57-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-753.48-753.57-laughter_lip.mp4
TS3008a-D-1134.26-1135.78-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.120,<laugh>,1134.263,1135.777,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-1134.26-1135.78-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-1134.26-1135.78-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/TS3008a-D-1134.26-1135.78-laughter_lip.mp4
TS3008a-D-1234.22-1234.34-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.128,<laugh>,1234.22,1234.337,inf,Inform,Task,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/TS3008a-D-1234.22-1234.34-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/TS3008a-D-1234.22-1234.34-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/lip_segments/TS3008a-D-1234.22-1234.34-laughter_lip.mp4
TS3008a-D-1266.82-1266.91-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.134,<laugh>,1266.82,1266.914,ass,Assess,Task,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/TS3008a-D-1266.82-1266.91-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/TS3008a-D-1266.82-1266.91-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/lip_segments/TS3008a-D-1266.82-1266.91-laughter_lip.mp4
TS3008a-D-1269.17-1269.42-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.135,<laugh>,1269.17,1269.424,be.pos,Be-Positive,Other,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/audio_segments/TS3008a-D-1269.17-1269.42-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/video_segments/TS3008a-D-1269.17-1269.42-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/lip_segments/TS3008a-D-1269.17-1269.42-laughter_lip.mp4
ES2007c-A-126.18-126.37-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.10,<laugh>,126.18,126.368,inf,Inform,Task,laughter,ES2007c.adjacency-pairs.dharshi.9,apt_1,Support/Possitive Assessment,C,ES2007c.C.dialog-act.dharshi.5,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/audio_segments/ES2007c-A-126.18-126.37-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/video_segments/ES2007c-A-126.18-126.37-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/lip_segments/ES2007c-A-126.18-126.37-laughter_lip.mp4
ES2007c-A-282.79-283.02-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.31,<laugh>,282.79,283.024,sug,Suggest,Task,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/ES2007c-A-282.79-283.02-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/ES2007c-A-282.79-283.02-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/ES2007c-A-282.79-283.02-laughter_lip.mp4
ES2007c-A-485.09-486.11-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.48,<laugh>,485.09,486.106,ass,Assess,Task,laughter,ES2007c.adjacency-pairs.dharshi.39,apt_1,Support/Possitive Assessment,B,ES2007c.B.dialog-act.dharshi.49,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/ES2007c-A-485.09-486.11-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/ES2007c-A-485.09-486.11-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/ES2007c-A-485.09-486.11-laughter_lip.mp4
ES2007c-A-558.15-558.30-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.52,<laugh>,558.15,558.3,be.pos,Be-Positive,Other,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/ES2007c-A-558.15-558.30-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/ES2007c-A-558.15-558.30-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/lip_segments/ES2007c-A-558.15-558.30-laughter_lip.mp4
ES2007c-A-561.65-561.71-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.53,<laugh>,561.65,561.712,be.pos,Be-Positive,Other,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/audio_segments/ES2007c-A-561.65-561.71-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/video_segments/ES2007c-A-561.65-561.71-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/lip_segments/ES2007c-A-561.65-561.71-laughter_lip.mp4
ES2007c-A-798.51-798.67-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.81,<laugh>,798.51,798.667,bck,Backchannel,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/ES2007c-A-798.51-798.67-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/ES2007c-A-798.51-798.67-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/lip_segments/ES2007c-A-798.51-798.67-laughter_lip.mp4
ES2007c-A-813.16-813.25-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.83,<laugh>,813.16,813.249,bck,Backchannel,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/ES2007c-A-813.16-813.25-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/ES2007c-A-813.16-813.25-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/lip_segments/ES2007c-A-813.16-813.25-laughter_lip.mp4
ES2007c-A-1649.61-1650.01-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.188,<laugh>,1649.61,1650.011,be.pos,Be-Positive,Other,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/ES2007c-A-1649.61-1650.01-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/ES2007c-A-1649.61-1650.01-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/lip_segments/ES2007c-A-1649.61-1650.01-laughter_lip.mp4
ES2007c-A-1738.05-1738.39-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.200,<laugh>,1738.05,1738.39,ass,Assess,Task,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/ES2007c-A-1738.05-1738.39-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/ES2007c-A-1738.05-1738.39-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/lip_segments/ES2007c-A-1738.05-1738.39-laughter_lip.mp4
ES2007c-A-1740.33-1742.27-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.201,<laugh>,1740.325,1742.267,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/ES2007c-A-1740.33-1742.27-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/ES2007c-A-1740.33-1742.27-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/lip_segments/ES2007c-A-1740.33-1742.27-laughter_lip.mp4
ES2007c-A-1793.06-1793.33-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.206,<laugh>,1793.06,1793.328,be.pos,Be-Positive,Other,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/ES2007c-A-1793.06-1793.33-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/ES2007c-A-1793.06-1793.33-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/lip_segments/ES2007c-A-1793.06-1793.33-laughter_lip.mp4
ES2007c-A-1812.18-1813.71-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.207,<laugh>,1812.18,1813.712,ass,Assess,Task,laughter,ES2007c.adjacency-pairs.dharshi.178,apt_1,Support/Possitive Assessment,D,ES2007c.D.dialog-act.dharshi.163,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/ES2007c-A-1812.18-1813.71-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/ES2007c-A-1812.18-1813.71-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/ES2007c-A-1812.18-1813.71-laughter_lip.mp4
ES2007c-A-1863.28-1864.24-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.216,<laugh>,1863.28,1864.242,be.pos,Be-Positive,Other,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/ES2007c-A-1863.28-1864.24-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/ES2007c-A-1863.28-1864.24-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/lip_segments/ES2007c-A-1863.28-1864.24-laughter_lip.mp4
ES2007c-A-1904.40-1906.14-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.220,<laugh>,1904.4,1906.144,fra,Fragment,Minor,laughter,,,,,,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/ES2007c-A-1904.40-1906.14-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/ES2007c-A-1904.40-1906.14-laughter.mp4,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/lip_segments/ES2007c-A-1904.40-1906.14-laughter_lip.mp4
