segment_id,meeting_id,speaker_id,dact_id,word,start_time,end_time,dialogue_act_type,dialogue_act_gloss,dialogue_act_category,event_type,audio,video,lip_video
TS3008a-D-662.63-663.55-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.41,<laugh>,662.635,663.55,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-662.63-663.55-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-662.63-663.55-laughter.mp4,
TS3008a-D-665.22-665.86-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.42,<laugh>,665.216,665.857,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-665.22-665.86-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-665.22-665.86-laughter.mp4,
TS3008a-D-670.45-670.45-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.43,<laugh>,670.448,670.448,inf,Inform,Task,laughter,,,
TS3008a-D-676.14-677.49-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.45,<laugh>,676.142,677.489,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/TS3008a-D-676.14-677.49-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/TS3008a-D-676.14-677.49-laughter.mp4,
TS3008a-D-680.67-681.27-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.47,<laugh>,680.672,681.27,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/TS3008a-D-680.67-681.27-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/TS3008a-D-680.67-681.27-laughter.mp4,
TS3008a-D-700.73-707.73-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.48,<laugh>,700.728,707.728,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0013/audio_segments/TS3008a-D-700.73-707.73-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0013/video_segments/TS3008a-D-700.73-707.73-laughter.mp4,
TS3008a-D-710.11-710.24-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.49,<laugh>,710.11,710.24,inf,Inform,Task,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/TS3008a-D-710.11-710.24-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/TS3008a-D-710.11-710.24-laughter.mp4,
TS3008a-D-712.49-716.61-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.50,<laugh>,712.489,716.608,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-712.49-716.61-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-712.49-716.61-laughter.mp4,
TS3008a-D-729.22-730.13-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.51,<laugh>,729.216,730.128,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/TS3008a-D-729.22-730.13-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/TS3008a-D-729.22-730.13-laughter.mp4,
TS3008a-D-731.65-732.94-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.52,<laugh>,731.652,732.944,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/TS3008a-D-731.65-732.94-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/TS3008a-D-731.65-732.94-laughter.mp4,
TS3008a-D-744.55-744.55-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.56,<laugh>,744.55,744.55,el.sug,Elicit-Offer-Or-Suggestion,Elicit,laughter,,,
TS3008a-D-753.48-753.57-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.58,<laugh>,753.48,753.568,off,Offer,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-753.48-753.57-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-753.48-753.57-laughter.mp4,
TS3008a-D-802.21-802.21-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.69,<laugh>,802.21,802.21,ass,Assess,Task,laughter,,,
TS3008a-D-819.65-819.65-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.74,<laugh>,819.65,819.65,inf,Inform,Task,laughter,,,
TS3008a-D-831.81-832.47-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.78,<laugh>,831.81,832.467,oth,Other,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/audio_segments/TS3008a-D-831.81-832.47-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/video_segments/TS3008a-D-831.81-832.47-laughter.mp4,
TS3008a-D-834.91-835.68-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.79,<laugh>,834.912,835.68,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-834.91-835.68-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-834.91-835.68-laughter.mp4,
TS3008a-D-848.05-849.69-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.80,<laugh>,848.048,849.69,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/TS3008a-D-848.05-849.69-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/TS3008a-D-848.05-849.69-laughter.mp4,
TS3008a-D-856.70-862.02-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.82,<laugh>,856.7,862.016,be.pos,Be-Positive,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0011/audio_segments/TS3008a-D-856.70-862.02-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0011/video_segments/TS3008a-D-856.70-862.02-laughter.mp4,
TS3008a-D-874.77-876.14-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.84,<laugh>,874.77,876.144,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/TS3008a-D-874.77-876.14-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/TS3008a-D-874.77-876.14-laughter.mp4,
TS3008a-D-878.81-880.14-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.85,<laugh>,878.813,880.144,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0010/audio_segments/TS3008a-D-878.81-880.14-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0010/video_segments/TS3008a-D-878.81-880.14-laughter.mp4,
TS3008a-D-882.03-884.69-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.88,<laugh>,882.031,884.692,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/TS3008a-D-882.03-884.69-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/TS3008a-D-882.03-884.69-laughter.mp4,
TS3008a-D-891.49-891.49-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.89,<laugh>,891.488,891.488,be.pos,Be-Positive,Other,laughter,,,
TS3008a-D-897.26-897.79-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.90,<laugh>,897.264,897.786,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/audio_segments/TS3008a-D-897.26-897.79-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/video_segments/TS3008a-D-897.26-897.79-laughter.mp4,
TS3008a-D-902.39-904.31-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.91,<laugh>,902.389,904.308,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/TS3008a-D-902.39-904.31-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/TS3008a-D-902.39-904.31-laughter.mp4,
TS3008a-D-1134.26-1135.78-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.120,<laugh>,1134.263,1135.777,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/TS3008a-D-1134.26-1135.78-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/TS3008a-D-1134.26-1135.78-laughter.mp4,
TS3008a-D-1234.22-1234.34-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.128,<laugh>,1234.22,1234.337,inf,Inform,Task,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/TS3008a-D-1234.22-1234.34-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/TS3008a-D-1234.22-1234.34-laughter.mp4,
TS3008a-D-1266.82-1266.91-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.134,<laugh>,1266.82,1266.914,ass,Assess,Task,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/TS3008a-D-1266.82-1266.91-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/TS3008a-D-1266.82-1266.91-laughter.mp4,
TS3008a-D-1269.17-1269.42-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.135,<laugh>,1269.17,1269.424,be.pos,Be-Positive,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/audio_segments/TS3008a-D-1269.17-1269.42-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/video_segments/TS3008a-D-1269.17-1269.42-laughter.mp4,
TS3008a-D-1320.83-1320.83-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.149,<laugh>,1320.826,1320.826,be.pos,Be-Positive,Other,laughter,,,
TS3008a-D-1323.42-1323.47-laughter,TS3008a,D,TS3008a.D.dialog-act.dharshi.149,<laugh>,1323.42,1323.472,be.pos,Be-Positive,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/TS3008a-D-1323.42-1323.47-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/TS3008a-D-1323.42-1323.47-laughter.mp4,
ES2007c-A-19.84-20.07-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.2,<laugh>,19.84,20.07,be.pos,Be-Positive,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/ES2007c-A-19.84-20.07-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/ES2007c-A-19.84-20.07-laughter.mp4,
ES2007c-A-22.09-24.37-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.3,<laugh>,22.089,24.368,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/ES2007c-A-22.09-24.37-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/ES2007c-A-22.09-24.37-laughter.mp4,
ES2007c-A-41.45-44.27-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.4,<laugh>,41.445,44.272,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/ES2007c-A-41.45-44.27-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/ES2007c-A-41.45-44.27-laughter.mp4,
ES2007c-A-126.18-126.37-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.10,<laugh>,126.18,126.368,inf,Inform,Task,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/audio_segments/ES2007c-A-126.18-126.37-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/video_segments/ES2007c-A-126.18-126.37-laughter.mp4,
ES2007c-A-282.79-283.02-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.31,<laugh>,282.79,283.024,sug,Suggest,Task,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/ES2007c-A-282.79-283.02-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/ES2007c-A-282.79-283.02-laughter.mp4,
ES2007c-A-485.09-486.11-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.48,<laugh>,485.09,486.106,ass,Assess,Task,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/ES2007c-A-485.09-486.11-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/ES2007c-A-485.09-486.11-laughter.mp4,
ES2007c-A-558.15-558.30-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.52,<laugh>,558.15,558.3,be.pos,Be-Positive,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/ES2007c-A-558.15-558.30-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/ES2007c-A-558.15-558.30-laughter.mp4,
ES2007c-A-561.65-561.71-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.53,<laugh>,561.65,561.712,be.pos,Be-Positive,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/audio_segments/ES2007c-A-561.65-561.71-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0018/video_segments/ES2007c-A-561.65-561.71-laughter.mp4,
ES2007c-A-798.51-798.67-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.81,<laugh>,798.51,798.667,bck,Backchannel,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/ES2007c-A-798.51-798.67-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/ES2007c-A-798.51-798.67-laughter.mp4,
ES2007c-A-813.16-813.25-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.83,<laugh>,813.16,813.249,bck,Backchannel,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/ES2007c-A-813.16-813.25-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/ES2007c-A-813.16-813.25-laughter.mp4,
ES2007c-A-1153.06-1153.06-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.123,<laugh>,1153.056,1153.056,ass,Assess,Task,laughter,,,
ES2007c-A-1649.61-1650.01-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.188,<laugh>,1649.61,1650.011,be.pos,Be-Positive,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/audio_segments/ES2007c-A-1649.61-1650.01-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0016/video_segments/ES2007c-A-1649.61-1650.01-laughter.mp4,
ES2007c-A-1738.05-1738.39-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.200,<laugh>,1738.05,1738.39,ass,Assess,Task,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/audio_segments/ES2007c-A-1738.05-1738.39-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0019/video_segments/ES2007c-A-1738.05-1738.39-laughter.mp4,
ES2007c-A-1740.33-1742.27-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.201,<laugh>,1740.325,1742.267,fra,Fragment,Minor,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/audio_segments/ES2007c-A-1740.33-1742.27-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0014/video_segments/ES2007c-A-1740.33-1742.27-laughter.mp4,
ES2007c-A-1786.64-1786.64-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.206,<laugh>,1786.64,1786.64,be.pos,Be-Positive,Other,laughter,,,
ES2007c-A-1793.06-1793.33-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.206,<laugh>,1793.06,1793.328,be.pos,Be-Positive,Other,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/audio_segments/ES2007c-A-1793.06-1793.33-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0015/video_segments/ES2007c-A-1793.06-1793.33-laughter.mp4,
ES2007c-A-1812.18-1813.71-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.207,<laugh>,1812.18,1813.712,ass,Assess,Task,laughter,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/audio_segments/ES2007c-A-1812.18-1813.71-laughter.wav,/deepstore/datasets/hmi/speechlaugh-corpus/ami/fluent_laughter/segments//chunk_0017/video_segments/ES2007c-A-1812.18-1813.71-laughter.mp4,
ES2007c-A-1859.18-1859.18-laughter,ES2007c,A,ES2007c.A.dialog-act.dharshi.216,<laugh>,1859.184,1859.184,be.pos,Be-Positive,Other,laughter,,,
